,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total,payment,cogs,gross_margin_percentage,gross_income,rating,date_time
0,750-67-8428,A,Yangon,Member,Female,Health And Beauty,74.69,7,26.1415,548.97,Ewallet,522.83,4.761904762,26.1415,9.1,2019-01-05 13:08:00
1,226-31-3081,C,Naypyitaw,Normal,Female,Electronic Accessories,15.28,5,3.82,80.22,Cash,76.4,4.761904762,3.82,9.6,2019-03-08 10:29:00
2,631-41-3108,A,Yangon,Normal,Male,Home And Lifestyle,46.33,7,16.2155,340.53,Credit Card,324.31,4.761904762,16.2155,7.4,2019-03-03 13:23:00
3,123-19-1176,A,Yangon,Member,Male,Health And Beauty,58.22,8,23.288,489.05,Ewallet,465.76,4.761904762,23.288,8.4,2019-01-27 20:33:00
4,373-73-7910,A,Yangon,Normal,Male,Sports And Travel,86.31,7,30.2085,634.38,Ewallet,604.17,4.761904762,30.2085,5.3,2019-02-08 10:37:00
5,699-14-3026,C,Naypyitaw,Normal,Male,Electronic Accessories,85.39,7,29.8865,627.62,Ewallet,597.73,4.761904762,29.8865,4.1,2019-03-25 18:30:00
6,355-53-5943,A,Yangon,Member,Female,Electronic Accessories,68.84,6,20.652,433.69,Ewallet,413.04,4.761904762,20.652,5.8,2019-02-25 14:36:00
7,315-22-5665,C,Naypyitaw,Normal,Female,Home And Lifestyle,73.56,10,36.78,772.38,Ewallet,735.6,4.761904762,36.78,8.0,2019-02-24 11:38:00
8,665-32-9167,A,Yangon,Member,Female,Health And Beauty,36.26,2,3.626,76.15,Credit Card,72.52,4.761904762,3.626,7.2,2019-01-10 17:15:00
9,692-92-5582,B,Mandalay,Member,Female,Food And Beverages,54.84,3,8.226,172.75,Credit Card,164.52,4.761904762,8.226,5.9,2019-02-20 13:27:00
10,351-62-0822,B,Mandalay,Member,Female,Fashion Accessories,14.48,4,2.896,60.82,Ewallet,57.92,4.761904762,2.896,4.5,2019-02-06 18:07:00
11,529-56-3974,B,Mandalay,Member,Male,Electronic Accessories,25.51,4,5.102,107.14,Cash,102.04,4.761904762,5.102,6.8,2019-03-09 17:03:00
12,365-64-0515,A,Yangon,Normal,Female,Electronic Accessories,46.95,5,11.7375,246.49,Ewallet,234.75,4.761904762,11.7375,7.1,2019-02-12 10:25:00
13,252-56-2699,A,Yangon,Normal,Male,Food And Beverages,43.19,10,21.595,453.5,Ewallet,431.9,4.761904762,21.595,8.2,2019-02-07 16:48:00
14,829-34-3910,A,Yangon,Normal,Female,Health And Beauty,71.38,10,35.69,749.49,Cash,713.8,4.761904762,35.69,5.7,2019-03-29 19:21:00
15,299-46-1805,B,Mandalay,Member,Female,Sports And Travel,93.72,6,28.116,590.44,Cash,562.32,4.761904762,28.116,4.5,2019-01-15 16:19:00
16,656-95-9349,A,Yangon,Member,Female,Health And Beauty,68.93,7,24.1255,506.64,Credit Card,482.51,4.761904762,24.1255,4.6,2019-03-11 11:03:00
17,765-26-6951,A,Yangon,Normal,Male,Sports And Travel,72.61,6,21.783,457.44,Credit Card,435.66,4.761904762,21.783,6.9,2019-01-01 10:39:00
18,329-62-1586,A,Yangon,Normal,Male,Food And Beverages,54.67,3,8.2005,172.21,Credit Card,164.01,4.761904762,8.2005,8.6,2019-01-21 18:00:00
19,319-50-3348,B,Mandalay,Normal,Female,Home And Lifestyle,40.3,2,4.03,84.63,Ewallet,80.6,4.761904762,4.03,4.4,2019-03-11 15:30:00
20,300-71-4605,C,Naypyitaw,Member,Male,Electronic Accessories,86.04,5,21.51,451.71,Ewallet,430.2,4.761904762,21.51,4.8,2019-02-25 11:24:00
21,371-85-5789,B,Mandalay,Normal,Male,Health And Beauty,87.98,3,13.197,277.14,Ewallet,263.94,4.761904762,13.197,5.1,2019-03-05 10:40:00
22,273-16-6619,B,Mandalay,Normal,Male,Home And Lifestyle,33.2,2,3.32,69.72,Credit Card,66.4,4.761904762,3.32,4.4,2019-03-15 12:20:00
23,636-48-8204,A,Yangon,Unknown,Unknown,Miscellaneous,34.56,5,8.64,235.45,Unknown,172.8,4.761904762,8.64,6.9,2019-02-17 11:15:00
24,549-59-1358,A,Yangon,Member,Male,Sports And Travel,88.63,3,13.2945,279.18,Ewallet,265.89,4.761904762,13.2945,6.0,2019-03-02 17:36:00
25,227-03-5010,A,Yangon,Member,Female,Home And Lifestyle,52.59,8,21.036,441.76,Credit Card,420.72,4.761904762,21.036,8.5,2019-03-22 19:20:00
26,649-29-6775,B,Mandalay,Normal,Male,Fashion Accessories,33.52,1,1.676,35.2,Cash,33.52,4.761904762,1.676,6.7,2019-02-08 15:31:00
27,189-17-4241,A,Yangon,Normal,Female,Fashion Accessories,87.67,2,8.767,184.11,Credit Card,175.34,4.761904762,8.767,7.7,2019-03-10 12:17:00
28,145-94-9061,B,Mandalay,Normal,Female,Food And Beverages,88.36,5,22.09,463.89,Cash,441.8,4.761904762,22.09,9.6,2019-01-25 19:48:00
29,848-62-7243,A,Yangon,Normal,Male,Health And Beauty,24.89,9,11.2005,235.21,Cash,224.01,4.761904762,11.2005,7.4,2019-03-15 15:36:00
30,871-79-8483,B,Mandalay,Unknown,Unknown,Miscellaneous,94.13,5,23.5325,235.45,Unknown,470.65,4.761904762,23.5325,6.9,2019-02-25 19:39:00
31,149-71-6266,B,Mandalay,Member,Male,Sports And Travel,78.07,9,35.1315,737.76,Cash,702.63,4.761904762,35.1315,4.5,2019-01-28 12:43:00
32,640-49-2076,B,Mandalay,Normal,Male,Sports And Travel,83.78,8,33.512,703.75,Cash,670.24,4.761904762,33.512,5.1,2019-01-10 14:49:00
33,595-11-5460,A,Yangon,Normal,Male,Health And Beauty,96.58,2,9.658,202.82,Credit Card,193.16,4.761904762,9.658,5.1,2019-03-15 10:12:00
34,183-56-6882,C,Naypyitaw,Member,Female,Food And Beverages,99.42,4,19.884,417.56,Ewallet,397.68,4.761904762,19.884,7.5,2019-02-06 10:42:00
35,232-16-2483,C,Naypyitaw,Member,Female,Sports And Travel,68.12,1,3.406,71.53,Ewallet,68.12,4.761904762,3.406,6.8,2019-01-07 12:28:00
36,129-29-8530,A,Yangon,Member,Male,Sports And Travel,62.62,5,15.655,328.76,Ewallet,313.1,4.761904762,15.655,7.0,2019-03-10 19:15:00
37,272-65-1806,A,Yangon,Normal,Female,Electronic Accessories,60.88,9,27.396,575.32,Ewallet,547.92,4.761904762,27.396,4.7,2019-01-15 17:17:00
38,333-73-7901,C,Naypyitaw,Normal,Female,Health And Beauty,54.92,8,21.968,461.33,Ewallet,439.36,4.761904762,21.968,7.6,2019-03-23 13:24:00
39,777-82-7220,B,Mandalay,Unknown,Unknown,Miscellaneous,30.12,8,12.048,235.45,Unknown,240.96,4.761904762,12.048,6.9,2019-03-03 13:01:00
40,280-35-5823,B,Mandalay,Member,Female,Home And Lifestyle,86.72,1,4.336,91.06,Ewallet,86.72,4.761904762,4.336,7.9,2019-01-17 18:45:00
41,554-53-8700,C,Naypyitaw,Member,Male,Home And Lifestyle,56.11,2,5.611,117.83,Cash,112.22,4.761904762,5.611,6.3,2019-02-02 10:11:00
42,354-25-5821,B,Mandalay,Member,Female,Sports And Travel,69.12,6,20.736,435.46,Cash,414.72,4.761904762,20.736,5.6,2019-02-08 13:03:00
43,617-15-4209,C,Naypyitaw,Member,Male,Health And Beauty,15.37,2,1.537,32.28,Cash,30.74,4.761904762,1.537,7.2,2019-03-16 19:47:00
44,132-32-9879,B,Mandalay,Member,Female,Electronic Accessories,93.96,4,18.792,394.63,Cash,375.84,4.761904762,18.792,9.5,2019-03-09 18:00:00
45,370-41-7321,B,Mandalay,Member,Male,Health And Beauty,56.69,9,25.5105,535.72,Credit Card,510.21,4.761904762,25.5105,8.4,2019-02-27 17:24:00
46,727-46-3608,B,Mandalay,Member,Female,Food And Beverages,20.01,9,9.0045,189.09,Ewallet,180.09,4.761904762,9.0045,4.1,2019-02-06 15:47:00
47,669-54-1719,B,Mandalay,Member,Male,Electronic Accessories,18.93,6,5.679,119.26,Credit Card,113.58,4.761904762,5.679,8.1,2019-02-10 12:45:00
48,326-78-5178,C,Naypyitaw,Member,Male,Food And Beverages,91.4,7,31.99,671.79,Cash,639.8,4.761904762,31.99,9.5,2019-02-03 10:19:00
49,162-48-8011,A,Yangon,Member,Female,Food And Beverages,44.59,5,11.1475,234.1,Cash,222.95,4.761904762,11.1475,8.5,2019-02-10 15:10:00
