invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5%,total,payment,cogs,gross_margin_percentage,gross_income,rating,date_time
750-67-8428,A,Yangon,Member,Female,Health And Beauty,74.69,7,26.1415,548.9715,Ewallet,522.83,4.761904762,26.1415,9.1,2019-01-05 13:08:00
226-31-3081,C,Naypyitaw,Normal,Female,Electronic Accessories,15.28,5,3.82,80.22,Cash,76.4,4.761904762,3.82,9.6,2019-03-08 10:29:00
631-41-3108,A,Yangon,Normal,Male,Home And Lifestyle,46.33,7,16.2155,340.5255,Credit Card,324.31,4.761904762,16.2155,7.4,2019-03-03 13:23:00
123-19-1176,A,Yangon,Member,Male,Health And Beauty,58.22,8,23.288,489.048,Ewallet,465.76,4.761904762,23.288,8.4,2019-01-27 20:33:00
373-73-7910,A,Yangon,Normal,Male,Sports And Travel,86.31,7,30.2085,634.3785,Ewallet,604.17,4.761904762,30.2085,5.3,2019-02-08 10:37:00
699-14-3026,C,Naypyitaw,Normal,Male,Electronic Accessories,85.39,7,29.8865,627.6165,Ewallet,597.73,4.761904762,29.8865,4.1,2019-03-25 18:30:00
355-53-5943,A,Yangon,Member,Female,Electronic Accessories,68.84,6,20.652,433.692,Ewallet,413.04,4.761904762,20.652,5.8,2019-02-25 14:36:00
315-22-5665,C,Naypyitaw,Normal,Female,Home And Lifestyle,73.56,10,36.78,772.38,Ewallet,735.6,4.761904762,36.78,8.0,2019-02-24 11:38:00
665-32-9167,A,Yangon,Member,Female,Health And Beauty,36.26,2,3.626,76.146,Credit Card,72.52,4.761904762,3.626,7.2,2019-01-10 17:15:00
692-92-5582,B,Mandalay,Member,Female,Food And Beverages,54.84,3,8.226,172.746,Credit Card,164.52,4.761904762,8.226,5.9,2019-02-20 13:27:00
351-62-0822,B,Mandalay,Member,Female,Fashion Accessories,14.48,4,2.896,60.816,Ewallet,57.92,4.761904762,2.896,4.5,2019-02-06 18:07:00
529-56-3974,B,Mandalay,Member,Male,Electronic Accessories,25.51,4,5.102,107.142,Cash,102.04,4.761904762,5.102,6.8,2019-03-09 17:03:00
365-64-0515,A,Yangon,Normal,Female,Electronic Accessories,46.95,5,11.7375,246.4875,Ewallet,234.75,4.761904762,11.7375,7.1,2019-02-12 10:25:00
252-56-2699,A,Yangon,Normal,Male,Food And Beverages,43.19,10,21.595,453.495,Ewallet,431.9,4.761904762,21.595,8.2,2019-02-07 16:48:00
